step,guided_attention_weight,learning_rate,loss,attention_diag,gradient_norm,system_interventions
0,4.5,0.001,41.9,0.037,19.4,0
10,5.2,0.0009,35.2,0.089,16.2,1
20,5.8,0.0008,28.6,0.145,12.8,1
30,6.1,0.0007,23.1,0.223,9.4,1
40,6.0,0.0006,18.7,0.318,6.7,1
50,5.7,0.00055,15.3,0.425,4.8,1
60,5.5,0.0005,12.8,0.534,3.2,1
70,5.2,0.00045,10.9,0.638,2.1,0
80,4.8,0.0004,9.5,0.715,1.8,0
90,4.5,0.00035,8.4,0.782,1.5,0
100,4.2,0.0003,7.6,0.836,1.3,0
110,3.8,0.00025,6.9,0.875,1.1,0
120,3.5,0.0002,6.3,0.901,0.9,0
130,3.2,0.00018,5.8,0.922,0.8,0
140,3.0,0.00015,5.4,0.938,0.7,0
150,2.8,0.00012,5.1,0.951,0.6,0
